source,target,value
Agnes,Tóti,779
Natan,Pétur,94
Jón,Tóti,190
Margrét,Steina,158
Jón,Margrét,177
Jón,Steina,56
Lauga,Steina,350
Kristín,Lauga,56
Kristín,Steina,39
Lauga,Natan,19
Lauga,Margrét,209
Jón,Lauga,105
Natan,Steina,18
Jón,Kristín,22
Kristín,Margrét,51
Agnes,Margrét,723
Agnes,Jón,79
Jón,Natan,13
Margrét,Tóti,133
Ingibjörg,Margrét,102
Agnes,Ingibjörg,42
Agnes,Natan,388
Margrét,Natan,54
Jóas,Natan,2
Jóas,Margrét,5
Inga,Jón,17
Páll,Róslín,5
Margrét,Róslín,201
Margrét,Páll,23
Jón,Róslín,24
Ingibjörg,Róslín,50
Agnes,Róslín,98
Agnes,Fridrik,186
Fridrik,Margrét,34
Pétur,Róslín,3
Natan,Róslín,32
Gudmundur,Natan,10
Fridrik,Róslín,5
Agnes,Björn,22
Agnes,Inga,26
Páll,Sigga,3
Natan,Sigga,601
Agnes,Thorvardur,21
Thorvardur,Tóti,17
Natan,Tóti,99
Agnes,Sigrídur,18
Páll,Tóti,5
Haukur,Tóti,11
Gudrún,Tóti,16
Dagga,Tóti,35
Dagga,Natan,3
Gudrún,Natan,9
Dagga,Gudrún,12
Agnes,Dagga,8
Pétur,Tóti,11
Haukur,Thorvardur,5
Steina,Tóti,15
Agnes,Steina,282
Bjarni,Jón,30
Bjarni,Gudmundur,26
Gudmundur,Kristín,21
Agnes,Gudmundur,29
Agnes,Bjarni,13
Bjarni,Kristín,18
Gudmundur,Lauga,14
Gudmundur,Jón,15
Agnes,Kristín,21
Agnes,Lauga,150
Helga,Ingibjörg,6
Fridrik,Tóti,32
Fridrik,Sigga,320
Agnes,Sigga,127
Agnes,Magnús,11
Magnús,Tóti,10
Jón,Magnús,6
Inga,Ingibjörg,5
Inga,Margrét,3
Margrét,Thorvardur,5
Ingibjörg,Ingveldur,4
Ingveldur,Margrét,4
Ingibjörg,Steina,9
Róslín,Steina,22
Ingibjörg,Lauga,10
Jóas,Tóti,5
Helga,Jóas,23
Agnes,Helga,11
Björn,Jóas,4
Björn,Steina,4
Lauga,Róslín,23
Sigga,Steina,9
Fridrik,Steina,2
Gudmundur,Steina,4
Margrét,Sigga,20
Sigga,Tóti,46
Gudmundur,Tóti,15
Kristín,Tóti,17
Fridrik,Natan,669
Lauga,Tóti,39
Helga,Tóti,3
Björn,Inga,79
Inga,Tóti,9
Inga,Kjartan,32
Björn,Kjartan,55
Björn,Jón,45
Gudbjörg,Kjartan,6
Agnes,Gudbjörg,9
Björn,Gudbjörg,19
Gudbjörg,Tóti,5
Agnes,Ragnar,3
Kjartan,Ragnar,6
Björn,Rósa,6
Gudbjörg,Rósa,6
Gudbjörg,Inga,6
Jón,Kjartan,5
Kjartan,Tóti,5
Karitas,Thorvardur,5
Karitas,Tóti,49
Fridrik,Pétur,34
Fridrik,Sigrídur,3
Karitas,Natan,58
Agnes,Karitas,23
Karitas,Margrét,3
Jón,Sigga,5
Ingveldur,Jóas,6
Jóas,Worm,6
Jóas,Magnús,16
Daníel,Tóti,3
Agnes,Daníel,16
Daníel,Fridrik,44
Agnes,Jóas,6
Agnes,Rósa,32
Rósa,Tóti,5
Natan,Rósa,124
María,Natan,49
María,Rósa,5
María,Worm,17
Natan,Worm,33
Agnes,Worm,7
María,Tóti,5
Agnes,Páll,3
Bjarni,Margrét,3
Fridrik,Gudmundur,8
Bjarni,Natan,2
Agnes,Pétur,14
Jón,Thorvardur,5
Lauga,Thorvardur,4
Kristín,Natan,6
Bjarni,Lauga,5
Jón,Pétur,4
Kristín,María,4
Agnes,María,8
Jón,María,5
Gudmundur,Margrét,9
Róslín,Tóti,5
Margrét,María,4
Karitas,María,4
Gudmundur,Karitas,4
Magnús,Sigga,5
Natan,Sigrídur,8
Sigga,Sigrídur,6
Karitas,Sigga,6
Margrét,Pétur,3
Lauga,Pétur,4
Fridrik,Thórunn,38
Sigga,Thórunn,20
Natan,Thórunn,6
Fridrik,Rósa,5
Rósa,Sigga,36
Natan,Thóranna,7
Rósa,Thóranna,18
Agnes,Thóranna,9
Daníel,Natan,199
Daníel,Sigga,50
Margrét,Thórbjörg,4
Agnes,Thórbjörg,3
Natan,Thórbjörg,3
Fridrik,Thórbjörg,17
Daníel,Margrét,5
Sigga,Thóranna,5
Agnes,Gudrún,5
Gudrún,Ospak,19
Gudrún,Kjartan,5
Kjartan,Ospak,9
Fridrik,Kjartan,5
Pétur,Sigga,4
